City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
21,Bluff,-46.6,168.3333,57.79,98,100,5.21,NZ,2022-05-07 20:06:25,light rain
22,Los Llanos De Aridane,28.6585,-17.9182,65.12,87,20,12.66,ES,2022-05-07 20:06:26,few clouds
23,Tubuala,9.5167,-79.0333,83.03,78,23,7.27,PA,2022-05-07 20:06:28,few clouds
24,Nakhon Phanom,17.3333,104.4167,75.06,93,100,5.46,TH,2022-05-07 20:06:29,light rain
25,Pevek,69.7008,170.3133,25.61,90,100,5.14,RU,2022-05-07 20:06:30,overcast clouds
26,Yoichi,43.2039,140.7703,46.04,80,100,18.7,JP,2022-05-07 20:06:31,overcast clouds
27,Naze,28.3667,129.4833,69.19,82,100,6.13,JP,2022-05-07 20:06:33,overcast clouds
28,Oranjemund,-28.55,16.4333,55.78,88,0,10.2,NA,2022-05-07 20:06:33,clear sky
29,Port Alfred,-33.5906,26.891,64.18,79,100,4.0,ZA,2022-05-07 20:04:36,overcast clouds
30,Husavik,66.0449,-17.3389,41.32,71,100,2.89,IS,2022-05-07 20:06:34,overcast clouds
31,Kargasok,59.0556,80.8572,24.19,80,99,13.11,RU,2022-05-07 20:06:35,overcast clouds
32,Mercedes,-34.6515,-59.4307,75.85,45,42,8.48,AR,2022-05-07 20:06:37,scattered clouds
33,Vaini,-21.2,-175.2,75.36,88,75,10.36,TO,2022-05-07 20:06:38,broken clouds
34,Jamestown,42.097,-79.2353,65.52,42,0,8.05,US,2022-05-07 20:06:39,clear sky
35,Albany,42.6001,-73.9662,59.45,33,100,1.99,US,2022-05-07 20:06:40,overcast clouds
36,Tuatapere,-46.1333,167.6833,55.09,97,100,1.57,NZ,2022-05-07 20:06:41,moderate rain
37,Leningradskiy,69.3833,178.4167,23.67,90,86,2.28,RU,2022-05-07 20:06:42,overcast clouds
38,Omboue,-1.5746,9.2618,76.32,89,95,3.89,GA,2022-05-07 20:06:43,overcast clouds
39,Vanavara,60.34,102.2797,31.41,69,93,17.07,RU,2022-05-07 20:06:43,overcast clouds
40,Umea,63.8284,20.2597,42.73,45,0,13.8,SE,2022-05-07 20:06:44,clear sky
41,Yarada,17.65,83.2667,80.92,78,40,2.3,IN,2022-05-07 20:06:46,haze
42,Hilo,19.7297,-155.09,78.53,76,100,6.91,US,2022-05-07 20:06:46,overcast clouds
43,Saint-Philippe,-21.3585,55.7679,72.99,84,27,10.98,RE,2022-05-07 20:06:47,light rain
44,Provideniya,64.3833,-173.3,32.36,89,100,7.49,RU,2022-05-07 20:06:47,overcast clouds
45,Qaanaaq,77.484,-69.3632,19.76,79,100,1.05,GL,2022-05-07 20:06:48,overcast clouds
46,Soyo,-6.1349,12.3689,78.84,85,37,3.27,AO,2022-05-07 20:06:50,scattered clouds
47,Hermanus,-34.4187,19.2345,55.8,79,38,4.16,ZA,2022-05-07 20:06:51,light rain
48,Dikson,73.5069,80.5464,7.03,96,100,8.68,RU,2022-05-07 20:06:53,overcast clouds
49,Georgetown,5.4112,100.3354,85.95,74,20,6.91,MY,2022-05-07 20:06:54,few clouds
50,Isangel,-19.55,169.2667,74.98,64,15,17.63,VU,2022-05-07 20:06:55,few clouds
51,Vaitape,-16.5167,-151.75,81.34,76,0,7.47,PF,2022-05-07 20:04:45,clear sky
52,Gushikawa,26.3544,127.8686,75.2,96,75,11.5,JP,2022-05-07 20:06:56,broken clouds
53,Nakhon Thai,17.1006,100.8374,75.65,98,100,1.68,TH,2022-05-07 20:06:57,light rain
54,Ostrovnoy,68.0531,39.5131,37.98,99,100,14.85,RU,2022-05-07 20:06:58,light rain
55,Morehead,37.2711,-87.1764,63.86,68,100,9.22,US,2022-05-07 20:06:59,overcast clouds
56,Yulara,-25.2406,130.9889,42.64,61,0,5.75,AU,2022-05-07 20:06:59,clear sky
57,Kununurra,-15.7667,128.7333,73.38,31,2,8.05,AU,2022-05-07 20:07:00,clear sky
58,Thinadhoo,0.5333,72.9333,84.0,77,66,16.2,MV,2022-05-07 20:07:01,broken clouds
59,Mar Del Plata,-38.0023,-57.5575,66.61,67,51,11.52,AR,2022-05-07 20:03:35,broken clouds
60,Cordoba,-31.4135,-64.1811,80.76,40,0,16.11,AR,2022-05-07 20:07:03,clear sky
61,Dudinka,69.4058,86.1778,6.53,97,77,11.54,RU,2022-05-07 20:07:04,broken clouds
62,Santa Vitoria Do Palmar,-33.5189,-53.3681,65.66,69,35,2.89,BR,2022-05-07 20:07:05,scattered clouds
63,Panjab,34.388,67.0233,55.92,50,100,3.31,AF,2022-05-07 20:07:06,overcast clouds
64,Sitka,57.0531,-135.33,48.09,66,40,10.36,US,2022-05-07 20:07:07,scattered clouds
65,Manggar,-2.8833,108.2667,80.83,82,91,5.39,ID,2022-05-07 20:07:08,overcast clouds
66,Vardo,70.3705,31.1107,36.88,79,19,28.25,NO,2022-05-07 20:07:09,few clouds
67,Adrar,20.5022,-10.0711,93.74,13,52,6.49,MR,2022-05-07 20:07:10,broken clouds
68,Cap Malheureux,-19.9842,57.6142,77.47,74,8,7.0,MU,2022-05-07 20:07:10,clear sky
69,Norman Wells,65.282,-126.8329,43.86,62,100,1.05,CA,2022-05-07 20:07:12,overcast clouds
