City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,Takoradi,4.8845,-1.7554,79.88,84,88,7.05,GH,2022-05-02 00:29:01
246,Pevek,69.7008,170.3133,18.25,70,97,8.05,RU,2022-05-02 00:29:03
247,Abashiri,44.0213,144.2697,44.89,93,75,3.44,JP,2022-05-02 00:29:03
248,Nortelandia,-14.4547,-56.8028,76.62,56,16,2.48,BR,2022-05-02 00:29:04
249,Airai,-8.9266,125.4092,69.26,56,69,5.06,TL,2022-05-02 00:29:05
250,Pokhara,28.2333,83.9833,64.83,62,76,5.46,NP,2022-05-02 00:29:07
251,Erenhot,43.6475,111.9767,56.79,34,15,6.53,CN,2022-05-02 00:29:08
252,Luan,46.3592,6.9759,44.37,82,23,3.49,CH,2022-05-02 00:29:09
253,Lima,-12.0432,-77.0282,68.9,71,0,12.66,PE,2022-05-02 00:25:45
254,Souillac,-20.5167,57.5167,71.98,94,20,1.14,MU,2022-05-02 00:29:10
255,Agde,43.3108,3.4758,61.9,67,0,2.3,FR,2022-05-02 00:29:11
256,Kandrian,-6.2167,149.55,84.34,71,3,3.02,PG,2022-05-02 00:29:12
257,Gandai,21.6667,81.1,85.98,25,17,6.78,IN,2022-05-02 00:29:13
258,Valparaiso,-33.0393,-71.6273,57.47,72,0,3.44,CL,2022-05-02 00:27:44
259,Kruisfontein,-34.0033,24.7314,49.89,89,0,3.94,ZA,2022-05-02 00:29:15
260,Port Moresby,-9.4431,147.1797,81.82,74,40,5.75,PG,2022-05-02 00:29:17
261,Obo,5.3998,26.4869,69.46,86,91,4.52,CF,2022-05-02 00:29:18
262,Challapalle,16.1167,80.9333,86.14,85,29,9.06,IN,2022-05-02 00:29:19
263,Tandil,-37.3217,-59.1332,44.73,75,71,6.51,AR,2022-05-02 00:29:20
264,Ajdabiya,30.7554,20.2263,65.86,78,23,15.55,LY,2022-05-02 00:29:21
265,Hasaki,35.7333,140.8333,57.6,55,100,16.87,JP,2022-05-02 00:29:22
266,Barcelos,41.5388,-8.6151,55.92,95,3,3.38,PT,2022-05-02 00:29:23
267,Berlevag,70.8578,29.0864,19.2,72,91,9.28,NO,2022-05-02 00:29:25
268,Coihaique,-45.5752,-72.0662,44.55,87,40,4.61,CL,2022-05-02 00:30:26
269,Tilichiki,60.4667,166.1,26.19,84,9,4.21,RU,2022-05-02 00:30:27
270,Huarmey,-10.0681,-78.1522,66.45,85,100,7.67,PE,2022-05-02 00:30:28
271,Ibra,22.6906,58.5334,73.74,53,0,2.13,OM,2022-05-02 00:30:30
272,Nyurba,63.2842,118.3319,26.29,52,15,13.62,RU,2022-05-02 00:30:31
273,Lorengau,-2.0226,147.2712,83.14,76,100,2.17,PG,2022-05-02 00:30:32
